question,answer_1,answer_2,answer_3,answer_4,correct_answer,Text,Troubles
"Берлинская стена, разделяющая западную и восточную части города, была возведена",в 1956 г.,в 1955 г.,в 1961 г.,в 1963 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
Одной из причин смещения Н.С. Хрущева со всех государственных постов стало недовольство высших руководителей государства,его речью на XX съезде партии,отправкой в отставку В.М. Молотова и Г. М. Маленкова,разделением государственных и партийных органов на промышленные и сельскохозяйственные,его внешней политикой,3,СССР в 1953 г. — середине 60-х гг. XX в,1.0
"Национальная государственность балкарского, ингушского, калмыцкого, карачаевского и чеченского народов была восстановлена",в 1953 г.,в 1955 г.,в 1957 г.,в 1961 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
В 50-е гг. XX в. были реабилитированы,репрессированные в 30-е гг. Военные,"репрессированные в 30-е гг. государственные деятели, имевшие альтернативные взгляды на построение социализма в СССР",бывшие военнопленные и заключенные,все политические заключенные,1,СССР в 1953 г. — середине 60-х гг. XX в,
Запуск первого искусственного спутника Земли был осуществлен,в 1956 г.,в 1957 г.,в 1961 г.,в 1963 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
Какое из перечисленных событий относится к культурной - жизни СССР в 1953—1964 гг.?,публикация романа И. Эренбурга «Оттепель»,создание скульптуры «Рабочий и колхозница»,строительство Мавзолея на Красной площади,появление звукового кинематографа в СССР ,1,СССР в 1953 г. — середине 60-х гг. XX в,
"Маршал, министр обороны Г.К. Жуков был лишен всех постов",в 1953 г.,в 1955 г.,в 1957 г.,в 1962 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
Какое из названных событий произошло 26 июня 1953 г.?,на заседании Совета министров был арестован Л.П. Берия,Н.С. Хрущев выступил с докладом «О культе личности и его последствиях»,Н.С. Хрущев был избран Председателем Совета Министров СССР,был осуществлен запуск первого искусственного спутника Земли,1,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного характеризует экономическую программу Г.М. Маленкова?,первостепенное развитие тяжелой индустрии,приоритетное развитие легкой и пищевой промышленности,"поэтапная реализация курса, направленного на роспуск колхозов",увеличение масштабов финансирования военно-промышленного комплекса,2,СССР в 1953 г. — середине 60-х гг. XX в,1.0
"Карибский кризис, поставивший мир на порог новой войны, разразился",в 1956 г.,в 1958 г.,в 1962 г.,в 1964 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
"Н.С. Хрущев считал, что гарантией мира может стать",только жесткое противостояние социалистической и капиталистической систем,ядерное равновесие между СССР и США,сокращение ядерного оружия,создание военно-политических блоков,2,СССР в 1953 г. — середине 60-х гг. XX в,
Доклад «О культе личности и его последствиях» был прочитан Н.С. Хрущевым,в 1953 г.,в 1956 г.,в 1959 г.,в 1962 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
Какой из названных процессов начался в 1959 г.?,реорганизация МТС,освоение целины,создание совнархозов,снижение цен,1,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного является одним из результатов XX съезда КПСС?,реорганизация системы ГУЛАГа,освобождение из лагерей всех политических заключенных,отмена политической цензуры,введение альтернативности выборов в Советы,1,СССР в 1953 г. — середине 60-х гг. XX в,
"Советский писатель, автор романов «Разгром», «Молодая гвардия», председатель Союза писателей СССР",К. Симонов,А. Фадеев,К. Федин,Л. Леонов,2,СССР в 1953 г. — середине 60-х гг. XX в,
В каком году поэт и писатель Борис Пастернак был удостоен Нобелевской премии в области литературы?,в 1955 г.,в 1957 г.,в 1959 г.,в 1962 г. ,2,СССР в 1953 г. — середине 60-х гг. XX в,
Либерализация политической жизни страны во второй половине 50-х гг. Проявилась,в пересмотре основ социалистической системы,в пересмотре федеральных основ Союза ССР,в реабилитации жертв политических репрессий,в возможности критики марксизма-ленинизма,3,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного является одним из результатов внутренней политики Н.С. Хрущева?,резкое снижение уровня жизни населения,увеличение поставок зерновых за границу,увеличение объемов жилищного строительства,подъем уровня жизни колхозников до уровня жизни горожан,3,СССР в 1953 г. — середине 60-х гг. XX в,1.0
Запуск первой в мире межконтинентальной баллистической ракеты СССР осуществил в,957 г.,1961 г.,1962 г.,1963 г.,1,СССР в 1953 г. — середине 60-х гг. XX в,
"Проект третьей программы КПСС, в которой ставилась задача построения материально-технической базы коммунизма, был подготовлен",в июле 1947 г.,в марте 1953 г.,в апреле 1961 г.,в октябре 1964 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
Попытка сместить Н.С. Хрущева с поста первого секретаря ЦК КПСС в 1957 г. была предпринята,руководством Министерства обороны,членами Президиума ЦК КПСС,"старыми большевиками, необоснованно репрессированными в 30-е гг.",представителями научной и творческой интеллигенции,2,СССР в 1953 г. — середине 60-х гг. XX в,
Закон об обязательной восьмилетней политехнической школе был принят,в 1956 г.,в 1958 г.,в 1961 г.,в 1963 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
Спуск на воду первого в мире атомного ледокола «Ленин» состоялся в,954 г.,1957 г.,1961г.,1964 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
"Писатель, подвергшийся гонениям за публикацию своего романа «Доктор Живаго» за границей",Б. Пастернак,М. Шолохов,И. Эренбург,И. Бродский,1,СССР в 1953 г. — середине 60-х гг. XX в,
"Ученый, занимавшийся созданием ракет и ракетно-космических систем",С. Королев,И. Курчатов,А. Сахаров,Н. Семенов ,1,СССР в 1953 г. — середине 60-х гг. XX в,
Какое событие из названных произошло раньше других?,ликвидация отраслевых министерств,избрание Н.С. Хрущева Первым секретарем КПСС,XX съезд КПСС,полет Ю. Гагарина в космос,2,СССР в 1953 г. — середине 60-х гг. XX в,
Решение о построении в СССР коммунистического общества к 1980 г. было принято,в 1958 г.,в 1961 г.,в 1962 г.,в 1964 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного является чертой экономического курса Н.С. Хрущева?,повышение закупочных цен на сельскохозяйственную продукцию,разукрупнение колхозов,первостепенное развитие легкой промышленности,проведение конверсии,1,СССР в 1953 г. — середине 60-х гг. XX в,
Сторонниками мирного сосуществования с капиталистическими странами в высшем руководстве СССР были,Г.М. Маленков и Н.С. Хрущев,Л.П. Берия и К.Е. Ворошилов,Г.М. Маленков и Н.А. Булганин,Г.К. Жуков и К.К. Рокоссовский,1,СССР в 1953 г. — середине 60-х гг. XX в,1.0
Какое из названных событий произошло в 1963 г.?,декларировано построение коммунизма к 1980 г.,разрыв дипломатических отношений с Китаем,отставка Н.С. Хрущева,начался процесс десталинизации,2,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного было одной из причин событий в Новочеркасске?,начало процесса реабилитации,продовольственный кризис,реорганизация государственных органов управления экономикой,увеличение ассигнований на военно-промышленный комплекс,2,СССР в 1953 г. — середине 60-х гг. XX в,1.0
Что из названного относится к характеристике «оттепели» в политической жизни СССР во второй половине 50-х гг. XX в.?,отказ от соцреализма,снятие запретов на критику сталинских репрессий,снижение идеологической цензуры,разрешение многопартийности,2,СССР в 1953 г. — середине 60-х гг. XX в,1.0
Кто из названных ученых получил Нобелевскую премию за разработку теории жидкого гелия?,А. Туполев,Л. Ландау,И. Курчатов,С. Королев,2,СССР в 1953 г. — середине 60-х гг. XX в,
"Писатель-фронтовик, проведший 8 лет в лагерях, повесть которого «Один день Ивана Денисовича» рассказала обществу о жизни советских заключенных",Б. Васильев,К. Симонов,Б. Пастернак,А. Солженицын,4,СССР в 1953 г. — середине 60-х гг. XX в,
"Знаменитая кинокомедия режиссера Э. Рязанова, в которой был представлен образ директора дома культуры - бюрократа и глупца",«Весна»,«Карнавальная ночь»,«Весна на Заречной улице»,«Высота»,2,СССР в 1953 г. — середине 60-х гг. XX в,
Вывод о полной и окончательной победе социализма был сделан руководством КПСС,в 1945 г.,в 1955 г.,в 1959 г.,в 1962 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
Г.М. Маленков был лишен поста главы правительства,в 1953 г.,в 1955 г.,в 1958 г.,в 1962 г.,2,СССР в 1953 г. — середине 60-х гг. XX в,
"«Кукурузная эпопея», с помощью которой пытались решить продовольственную проблему, началась",в первой половине 50-х гг.,во второй половине 50-х гг.,в начале 60-х гг.,во второй половине 60-х гг.,2,СССР в 1953 г. — середине 60-х гг. XX в,
Какое из названных событий началось в 1959 г.?,реорганизация МТС,освоение целины,создание совнархозов,строительство Байкало-Амурской магистрали,1,СССР в 1953 г. — середине 60-х гг. XX в,
Берлинский кризис разразился,в 1954 г.,в 1957 г.,в 1961 г.,в 1964 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
Для хрущевской «оттепели» характерна,десталинизация,возникновение правозащитного движения,отмена монопольного положения КПСС в обществе,введение альтернативных выборов,1,СССР в 1953 г. — середине 60-х гг. XX в,
Что из названного относится к причинам создания системы «коллективного руководства» после смерти И.В. Сталина?,стремление не допустить возвеличивания одного государственного деятеля,желание реорганизовать политическую систему на основе принципа разделения властей,требование общества прекратить практику «культа личности»,стремление повысить эффективность управления государственным аппаратом,1,СССР в 1953 г. — середине 60-х гг. XX в,1.0
Н.С. Хрущев принял участие в работе Генеральной Ассамблеи ООН и предложил начать всеобщее разоружение,в 1954 г.,1957 г.,в 1960 г.,в 1961 г.,3,СССР в 1953 г. — середине 60-х гг. XX в,
"Направление в живописи, для которого были характерны поэтизация и романтическая героизация трудовых буден, выявление в образах современников энергически-волевого начала, отказ от второстепенных деталей",сюрреализм,«суровый стиль»,концептуализм,монументализм,2,СССР в 1953 г. — середине 60-х гг. XX в,
Ю.А. Гагарин совершил полет в космос,в 1957 г.,в 1961 г.,в 1962 г.,в 1964 г. ,2,СССР в 1953 г. — середине 60-х гг. XX в,
Какое из названных положений характеризует Конституцию 1977 г.?,в СССР построено развитое социалистическое общество,"введено положение о гражданах, лишенных гражданских прав",в СССР осуществлен переход от капитализма к социализму,закреплена многопартийность,1,СССР в середине 60-х — середине 80-х гг. XX в.,
Идею «совершенствования развитого социализма» выдвинул,Л.И. Брежнев,Ю.В. Андропов,К.У. Черненко,В.М. Молотов,1,СССР в середине 60-х — середине 80-х гг. XX в.,
В экономике СССР ведущую роль играл,легкая промышленность,аграрный сектор,военно-промышленный комплекс,сфера услуг,3,СССР в середине 60-х — середине 80-х гг. XX в.,
«Митинг гласности» на Пушкинской площади в Москве состоялся,в 1965 г.,в 1975 г.,в 1980 г.,в 1982 г.,1,СССР в середине 60-х — середине 80-х гг. XX в.,
ЧТО ИЗ названного ОТНОСИТСЯ К результатам внешнеполитического курса Л.И. Брежнева?,ухудшение отношений с Югославией,роспуск Совета экономической взаимопомощи,подписание партнерской программы с НАТО,подписание Хельсинкских соглашений по безопасности и сотрудничеству в Европе,4,СССР в середине 60-х — середине 80-х гг. XX в.,
Подавление «Пражской весны» войсками стран—участниц Варшавского договора произошло,в 1964 г.,в 1968 г.,в 1979 г.,в 1982 г.,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Правозащитников в СССР называли,космополитами,диссидентами,репатриантами,антифашистами,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Что из названного относится к причинам неудачи экономической реформы 1965 г.?,неприятие рабочими принципа материальной заинтересованности в труде,убыточность большинства предприятий,сущность плановой экономики,неумение распорядиться фондом материального поощрения,3,СССР в середине 60-х — середине 80-х гг. XX в.,1.0
Самым популярным сочинителем и исполнителем своих песен в период «магнитофонной революции» был,Б.Ш. Окуджава,В.С. Высоцкий,А.И. Райкин,А. Галич ,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Приз Американской киноакадемии «Оскар» получил советский фильм,«Семнадцать мгновений весны»,«Война и мир»,«Место встречи изменить нельзя»,«Летят журавли»,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Концепцию «развитого социализма» называли идеологией,«оттепели»,«застоя»,«перестройки»,«шетидесятников»,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Что из названного характеризует экономическую политику Л.И. Брежнева?,увеличение капиталовложений в сельское хозяйство,приоритетное развитие оборонной промышленности,интенсификация жилищного строительства,разработка целинных и залежных земель,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных положений относится к Конституции 1977 г.?,в СССР создана новая социальная общность — советский народ,в СССР построен коммунизм,закреплено положение об обязательности альтернативных выборов в Советы народных депутатов,высшим органом власти является Съезд народных депутатов,1,СССР в середине 60-х — середине 80-х гг. XX в.,
"Отметьте, о ком идет речь. Ученый, один из создателей водородной бомбы; трижды Герой Социалистического труда. Активный общественный деятель: выступал с требованиями отмены смертной казни, реабилитации народов, подвергшихся депортации. В 1975 г. ему была присуждена Нобелевская премия мира. Резко осудил введение советских войск в Афганистан.",А. Сахаров,И. Тамм,Л. Ландау,Н. Семенов,1,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных внешнеполитических событий оказало сильное влияние на движение правозащитников в СССР?,подписание договора о дружбе и сотрудничестве с Египтом,визит президента Р. Никсона в Москву,подписание Хельсинкских соглашений,развитие неосталинизма,3,СССР в середине 60-х — середине 80-х гг. XX в.,
ЧТО ИЗ названного характеризует конец 60-х — начало 70-х годов?,демократизация общественной жизни,возвеличение Л.И. Брежнева,новый виток репрессий,критика бывших союзников по антигитлеровской коалиции,2,СССР в середине 60-х — середине 80-х гг. XX в.,1.0
"Продовольственная программа, принятая в 1982 г., предполагала",создать слой цивилизованных кооператоров,ввести частную собственность на землю,повысить производительность труда и решить продовольственный вопрос к 1990 г.,вернуться к опыту нэпа ,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Договор об ограничении стратегических наступательных вооружений (ОСВ-1) был подписан СССР и США,в 1970 г.,в 1972 г.,в 1975 г.,в 1981 г.,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Кто из названных писателей является автором трилогии «Живые и мертвые»?,К. Симонов,Ю. Трифонов,Б. Васильев,В. Распутин,1,СССР в середине 60-х — середине 80-х гг. XX в.,
Что из названного характеризует художественную жизнь в СССР в 60-е-80-е гг.?,ослабление идеологического контроля,внедрение системы государственных заказов,"поощрение контактов с деятелями культуры, эмигрировавшими из СССР в предшествующие годы",поощрение художников-авангардистов,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Что из названного характеризует политическую жизнь СССР во второй половине 60-х — начале 80-х гг.?,развитие диссидентского движения,введение принципа периодической сменяемости партийных руководителей,начало процесса десталинизации,демократизация общественной жизни,1,СССР в середине 60-х — середине 80-х гг. XX в.,
"Реформа, в ходе которой планировалось увеличить финансирование сельского хозяйства и повысить закупочные цены на его продукцию, была начата",в 1964 г.,в 1965 г.,в 1970 г.,в 1978 г.,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое имя из названных связано с активным правозащитным движением?,Ю. Бондарев,А. Герман,Н. Горбаневская,Г. Вишневская,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое событие из названных произошло раньше других?,конфликты с Китаем из-за о. Даманский,подписание договора между СССР и США об ограничении стратегических наступательных вооружений (ОСВ-2),«Пражская весна»,выход Албании из ОВД,3,СССР в середине 60-х — середине 80-х гг. XX в.,
1966—1970 гг. —это годы,шестой пятилетки,седьмой пятилетки,восьмой пятилетки,девятой пятилетки,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Использование служебного положения в целях личного обогащения называется,экспроприацией,коррупцией,монополизацией,коалицией,2,СССР в середине 60-х — середине 80-х гг. XX в.,
"Процесс сближения, ведущий к большей целостности, единству, называется",коалицией,модернизацией,ассимиляцией,интеграцией ,4,СССР в середине 60-х — середине 80-х гг. XX в.,
"Отметьте, о ком идет речь. Поэт, осужденный за тунеядство в СССР; в 1972 г. эмигрировал в США. В 1987 г. получил Нобелевскую премию в области литературы.",В. Войнович,И. Бродский,В. Ерофеев,Б. Окуджава,2,СССР в середине 60-х — середине 80-х гг. XX в.,
"Режиссер знаменитых фильмов «Солярис», «Зеркало», «Ностальгия»",А. Тарковский,С. Бондарчук,Л. Быков,В. Меньшов,1,СССР в середине 60-х — середине 80-х гг. XX в.,
"Отметьте прославленных театральных режиссеров, составивших эпоху в развитии театра.",В. Шукшин и Л. Гайдай,М. Ростропович и Д. Ойстрах,Г. Товстоногов и Ю. Любимов,С. Лемешев и И. Козловский,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Что из названного характеризует политическую жизнь СССР во второй половине 60-х — начале 80-х гг.?,введение возрастных ограничений для занятий партийных должностей,увеличение льгот и привилегий государственным и партийным чиновникам,развитие неосталинизма,отмена идеологической цензуры,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных событий произошло в 1975 г.?,заговор офицеров Балтийского флота «Союза борьбы за демократические права»,выступление корабля «Сторожевой»,демонстрация в защиту осужденных писателей Ю. Даниэля и А. Сенявского,восстание политических заключенных в исправительно- трудовых колониях,2,СССР в середине 60-х — середине 80-х гг. XX в.,
«Доктрина ограниченного суверенитета» так называемых социалистических стран была сформулирована,Г.М. Маленковым,Л.И. Брежневым,К.У. Черненко,Ю.В. Андроповым,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных событий произошло в 1980 г.?,введение в США эмбарго на поставки зерна в СССР,окончание войны во Вьетнаме,начало арабо-израильского конфликта,введение войск в Афганистан,1,СССР в середине 60-х — середине 80-х гг. XX в.,
В 70-е гг. СССР поддерживал дружественные отношения,с Индией,с Китаем,с Израилем,с Афганистаном,1,СССР в середине 60-х — середине 80-х гг. XX в.,
Термин «развитой социализм» появился,"в 30-е годы, после принятия Конституции «победившего социализма»","в конце 40-х годов, после появления социалистических государств","в 60-е годы, после принятия третьей программы КПСС","в 70-е годы, в связи с трудностями внутреннего развития ",4,СССР в середине 60-х — середине 80-х гг. XX в.,
"Какое из перечисленных событий, явлений научно-технического развития относится к 1964—1985 гг.?",создание водородной бомбы,появление нового направления в науке — квантовой физики,появление всемирной сети Интернет,строительство первого в мире космического корабля,2,СССР в середине 60-х — середине 80-х гг. XX в.,
Попытка внедрения хозрасчета в аграрном секторе была предпринята,А.Н. Косыгиным,К.У. Черненко,А. Микояном,А.А. Громыко,1,СССР в середине 60-х — середине 80-х гг. XX в.,
«Бульдозерная» выставка в Москве состоялась,в 1968 г.,в 1973 г.,в 1978 г.,в 1980 г.,3,СССР в середине 60-х — середине 80-х гг. XX в.,
"Отметьте, о ком идет речь. Участник Великой Отечественной войны: прошел путь от Орла до Восточной Пруссии. Был награжден орденами Отечественной войны и Красной Звезды. Писатель, автор книг, посвященных жизни заключенных в советских лагерях. В 1969 г. исключен из Союза писателей СССР. В 1970 г. удостоен Нобелевской премии по литературе. В 1974 г. был арестован, обвинен в «измене родине», лишен советского гражданства и без суда выдворен из страны.",Б. Пастернак,И. Бродский,А. Солженицын,А. Галич,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных положений характеризует концепцию «развитого социализма»?,окончательное решение национального вопроса в СССР,констатация факта нарастания борьбы с внутренними врагами социалистического строительства,построение коммунистического общества,снижение преступности,1,СССР в середине 60-х — середине 80-х гг. XX в.,
В 70—80-е гг. из СССР эмигрировали,А. Тарковский и Г. Вишневская,А. Сахаров и И. Бродский,А. Вертинский и А. Галич,Б. Пастернак и Е. Евтушенко,1,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое из названных событий произошло в 1979 г.?,Карибский кризис,«Пражская весна»,ввод советских войск в Афганистан,Хельсинкское совещание по безопасности и сотрудничеству в Европе,3,СССР в середине 60-х — середине 80-х гг. XX в.,
"Реформа в промышленности, попытавшаяся ввести принцип материальной заинтересованности в труде, была предпринята",в 1956 г.,в 1962 г.,в 1965 г.,в 1982 г.,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое внешнеполитическое событие из названных оказало сильное влияние на диссидентское движение в СССР?,конфликты на советско-китайской границе,встреча Л .И. Брежнева с президентом США Р. Никсоном,ввод советских войск в Чехословакию,помощь СССР Вьетнаму в конфликте с Китаем ,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Министром иностранных дел в «брежневский» период был,В.М. Молотов,А.А. Громыко,Ю.В. Андропов,А.Н. Косыгин,2,СССР в середине 60-х — середине 80-х гг. XX в.,
"Какое из перечисленных событий, явлений научно-технического развития относится к 1964—1985 гг.?",создание атомной бомбы,создание первой в мире ядерной установки,появление новой науки — генетики,строительство первого в мире атомного ледокола,2,СССР в середине 60-х — середине 80-х гг. XX в.,
"Ю. Галансков, А. Гинзбург, В. Буковский, П. Якир и В. Красин —- представители",музыкальной интеллигенции,театральной режиссуры,диссидентского движения,оперного искусства,3,СССР в середине 60-х — середине 80-х гг. XX в.,
"За книги «Малая земля», «Целина» и «Возрождение» Ленинской премии по литературе был удостоен",Н.С. Хрущев,Г.К. Жуков,Л.И. Брежнев,В.М. Шукшин,3,СССР в середине 60-х — середине 80-х гг. XX в.,
Писателями-деревенщиками называли,"В.Аксенова, А. Солженицына","Ф. Абрамова, В. Распутина","А. Галича, Ю. Кима","Ю.Бондарева, Б. Васильева",2,СССР в середине 60-х — середине 80-х гг. XX в.,
Какое событие из названных произошло в годы «перестройки » ?,развернулось диссидентское движение,отменена 6-я статья Конституции СССР о руководящей роли КПСС,заявлено о переходе к строительству коммунизма,провозглашена политика «ограниченного суверенитета» по отношению к социалистическим государствам,2,Перестройка в СССР (1985—1991),
Суверенитет России был провозглашен,в 1985 г.,в 1989 г.,в 1990 г.,в 1991 г.,3,Перестройка в СССР (1985—1991),
Что из названного относится к результатам экономической политики перестройки?,СССР вышел на одно из первых мест в мире по производству товаров на душу населения,сформирован рынок,сокращение производства в промышленности,укрепление денежной системы,3,Перестройка в СССР (1985—1991),
Что из названного является одним из результатов августовского кризиса 1991 г.?,запрещение КПСС,введение поста Президента РСФСР,уничтожение Советов,усиление авторитета Президента СССР ,1,Перестройка в СССР (1985—1991),
Антиалкогольная кампания была начата,в 1985 г.,в 1986 г.,в 1987 г.,в 1990 г.,1,Перестройка в СССР (1985—1991),
Какое из названных событий произошло в 1989 г.?,рухнула Берлинская стена,состоялась встреча М.С. Горбачева и Р. Рейгана в Рейкъявике,заключен Договор о сокращении и ограничении стратегических наступательных вооружений (СНВ),ГКЧП,1,Перестройка в СССР (1985—1991),
Переход государственной собственности в частную называется,     конверсией,приватизацией,монополизацией,стагнацией,2,Перестройка в СССР (1985—1991),
Какая позиция из названных характеризует научнокультурную жизнь в России в 1990-е гг.?,плюрализм,увеличение капиталовложений в образование,приоритетное развитие космических программ,усиление политической цензуры,1,Перестройка в СССР (1985—1991),
"Политическое и идеологическое течение, отстаивающее свободу предпринимательства, парламентский строй, демократические права и свободы личности",консерватизм,либерализм,тоталитаризм,плюрализм,2,Перестройка в СССР (1985—1991),
Отметьте одну из целей участников ГКЧП.,стимулировать развитие рыночных отношений в СССР,укрепить суверенитет РСФСР,расширить демократические свободы в обществе,укрепить положение КПСС в государстве,4,Перестройка в СССР (1985—1991),1.0
Инициатором жесткой борьбы с коррупцией среди государственных чиновников стал,Л.И. Брежнев,К.У. Черненко,Ю.В. Андропов,Н.С. Хрущев,3,Перестройка в СССР (1985—1991),
Что было одной из причин разработки программы «500 дней»?,необходимость ликвидировать диспропорции в экономике,стремление сохранить плановую систему хозяйствования,желание привлечь иностранные инвестиции,необходимость ликвидации последствий дефолта,1,Перестройка в СССР (1985—1991),1.0
Какое положение из названных характеризует «новое политическое мышление»?,призыв к мирному сосуществованию капиталистических и социалистических стран,стремление установить ядерный паритет с США,ведение политики «умиротворения агрессоров»,осуществление политики «ограниченного суверенитета»,1,Перестройка в СССР (1985—1991),
Курс на перестройку общественной системы был провозглашен в СССР,в марте 1985 г.,в апреле 1985 г.,в марте 1986 г.,в марте 1987 г.,1,Перестройка в СССР (1985—1991),
Какое положение из названных характеризует «новое политическое мышление»?,Приоритет общечеловеческих ценностей над классовыми и идеологическими,необходимость борьбы с военной угрозой,«ограниченный суверенитет» для соцстран,целевая материальная помощь странам «третьего мира»,1,Перестройка в СССР (1985—1991),
Что из названного является одной из причин распада СССР?,политика перестройки,выступление участников ГКЧП,межнациональные конфликты,крах командно-административной системы,4,Перестройка в СССР (1985—1991),
