0,1,2,3,4,5
В каком из этих фильмов играл Р. Быков?,Два капитана, Два бойца, Три плюс два,Служили два товарища,4
Что из этого не является частью рангоута судна?,Мачта, Гафель, Бушприт,Такелаж,4
В каком периоде динозавры не жили?,Юра,Девон, Триас, Мел,2
Кто из этих ученых дважды был лауреатом Нобелевской премии?,Альберт Эйнштейн, Макс Планк,Лайнус Полинг, Нильс Бор,3
Какой фильм не связан сюжетом со Всемирным фестивалем молодёжи и студентов 1957 года в Москве?,«Матрос с „Кометы“»,«Весна в Москве», «Девушка с гитарой», «Цепная реакция»,2
Какой из этих металлов обладает наибольшей плотностью?,золото, свинец,платина, серебро,3
Что из перечисленного называется настоящим орехом в ботанике?,Кедровый орех, Кокос,Фундук, Арахис,3
Что из перечисленного не входит в тройное единство предписанное драматургам классицизмом?,Времени, Действия,Замысла, Места,3
Что из перечисленного не является заморским департаментом Франции?,Гвиана,Вануату, Гваделупа, Мартиника,2
"Какая птица, как считается, дала название меткому стрелку снайперу?",вальдшнеп,бекас, перепел, кулик,2
В каком году Евровидение проходило в Москве?,2008, 2010,2009, 2013,3
Какая из этих рек не протекает по территории Белоруссии?,Дон,Западная Двина, Неман, Днепр,1
В каком азиатском государстве нет постоянных рек?,Ирак,Саудовская Аравия, Сирия, Иран,2
"""Кто из этих актеров сыграл в кино Гамлета?""",Золотухин, Высоцкий, Безруков,Смоктуновский,4
Какое из этих названий российских генеральских чинов не употреблялось после 1796 г.?,Генерал-аншеф,Генерал от инфантерии, Генерал от кавалерии, Инженер-генерал,1
Какое насекомое начинает свою жизнь не как гусеница?,Бабочка,Стрекоза, Мотылек, Моль,2
Какое из этих животных не способно двигать глазами?,Шимпанзе,Сова, Кролик, Крокодил,2
В каком городе России пока нет метро?,Пермь,Нижний Новгород, Казань, Самара,1
Какая из этих религий зародилась раньше остальных трех?,Буддизм,Христианство, Ислам, Сикхизм,1
Кто из этих хоккеистов является обладателем Национального Ордена Квебека? Кто из этих хоккеистов является обладателем Национального Ордена Квебека?,Горди Хоу, Бобби Орр, Уэйн Гретцки,Марио Лемье,4
Какая из этих социалистических стран не производила собственных легковых автомобилей?,Венгрия,Чехословакия, Румыния, Польша,1
"Какой из этих полнометражных мультфильмов создан в США, а не у нас?","""Приключения Буратино""","""Золушка"""," ""Аленький цветочек"""," ""Конек-Горбунок""",2
Племянник какого из этих писателей был выдающимся актером?,А. П. Чехов,В. В. Набоков, А. И. Куприн, Л. Н. Андреев,1
Кто из этих древних правителей был польским королем?,Стефан I, Стефан Первовенчанный,Стефан Баторий, Стефан III Великий,3
Какое из этих слов написано здесь неправильно?,Корелляция,Аппликация, Апелляция, Аккредитация,1
Кто из этих кошачьих имеет не втягивающиеся когти?,Гепард,Рысь, Лев, Оцелот,1
"Как известно, харит (граций) было три. Кто тут четвертый ""лишний""?",Талия, Евфросина,Клио, Аглая,3
Какой из этих городов не является прибрежным Каспийскому морю?,Махачкала, Баку, Астрахань,Адлер,4
Какое из этих слов не является названием промысловой рыбы?,Макрорус, Пристипома, Бельдюга,Сарсуэла,4
"Название какого блюда само говорит знатоку иностранных языков, что оно приготовлено из многих элементов?",паэлья, пицца,компот, винегрет,3
Какое из этих государств - не королевство?,Исландия,Норвегия, Швеция, Дания,1
Кто из этих великих ученых родился раньше остальных?,Левенгук, Ньютон, Лейбниц,Декарт,4
Какой из этих витаминов по-другому называется РЕТИНОЛ?,В2, Е, В12,А,4
Какой из этих танцев - не польского происхождения?,Краковяк, Мазурка,Полька, Полонез,3
Как по-другому называется электрическая дуга?,Кулонова, Гальванова, Амперова,Вольтова,4
Какая из этих букв всегда обозначает твердый звук?,ч, щ, й,ц,4
"На сцену какого театра Михаил Ефремов вышел еще мальчиком в спектакле «Уходя, оглянись»?",«Современник», Ленком, «Сатирикон»,МХАТ,4
"Какой богине принадлежала керинейская лань, которую изловил Геракл?",Афродите,Артемиде, Афине, Гере,2
Какая буква русского алфавита обозначается в шрифте Брайля одной выпуклой точкой?,Е, И, Я,А,4
"Во что заяц играл с белками в новогодней сказке Маршака ""Двенадцать месяцев""?",Горелки,Жмурки, Догонялки, Прятки,1
Что такое «рыбацкий штык»?,морской узел,острога, весло, якорь,1
Шахматист с какой фамилией в 1963 году стал чемпионом мира?,Степаненко,Петросян, Задорнов, Жванецкий,2
Какой европейский народ не относится к ретороманцам?,Фриулы, Ладины,Фризы, Романши,3
На каком языке традиционно отдают команды животным в цирке?,Английский,Французкий, Немецкий, Итальянский,2
Что такое гуммиарабик?,Лак, Пряность,Клей, Краситель,3
"Кто из этих классиков - автор романа ""Подросток""?",И. А. Бунин, Л. Н. Толстой,Ф. М. Достоевский, И. С. Тургенев,3
Какой из этих городов - столица Нигерии:,Абуджа,Аккра, Найроби, Дакар,1
Какой из этих балетов не оформлял Пабло Пикассо?,''Агон'',"""Меркурий''", ''Икар'', ''Треуголка'',1
Какую из этих пьес написал А. В. Сухово-Кобылин?,"""Доходное место"""," ""Власть тьмы"""," ""Горячее сердце""","""Дело""",4
"Какое из этих слов писалось и до реформы русского языка через Е, а не через ЯТЬ?",Пест,Хрен, Лес, Бес,1
В какой из этих стран официальный язык - французский?,Гайана,Гаити, Доминиканская Республика, Доминика,2
Где устанавливают спинакер?,на метеорологической станции, в ветеринарной клинике, в угольной шахте,на парусной яхте,4
У какого футбольного клуба НЕ фиолетовые цвета команды?,Тоттенхэм Хотспур,Фиорентина, Тулуза, Реал Вальядолид,1
Какой из перечисленных витаминов содержится в рыбьем жире?,В,A, С, Д,2
Какие из этих вен относятся к венам мышечного типа?,Плечевая вена,Вены глаз, Вены селезенки, Вены мозговых оболочек,1
Какой из этих городов не является портом Балтийского моря?,Санкт-Петербург,Вильнюс, Таллин, Лиепая,2
"Кто выиграл ""турнирный"" чемпионат мира по шахматам ФИДЕ в 2000г.?",А. Грищук,В. Ананд, А. Широв, М. Адамс,2
"В арсенале какого специалиста есть и сокол, и полутёрок?",ювелир, фрезеровщик,штукатур, каменотёс,3
В каком месяце происходит действие балета Чайковского «Щелкунчик»?,декабрь,январь, март, апрель,1
"Какая из перечисленных опер, написанных по произведениям Пушкина не принадлежит Чайковскому?","""Мазепа""","""Борис Годунов"""," ""Пиковая дама"""," ""Евгений Онегин""",2
"Что произносит игрок в преферанс, отказываясь от участия в розыгрыше?",Судью на мыло, Офсайд,Пас, Аут,3
Сколько минут в сутках?,1440,1200, 2400, 3600,1
От какого слова происходит имя Ева?,Солнечная, Первая, Красивая,Живая,4
Гривенник это,5 коп,10 коп, 20 коп, 50 коп,2
Какой из этих судов не является промысловым рыболовным?,Тендер,Траулер, Дрифтер, Сейнер,1
На территорию какого из этих государств пустыня Кызылкум не заходит?,Афганистан,Туркмения, Узбекистан, Казахстан,1
Какой российский император заслужил прозвище Палкин?,Павел I,Николай I, Александр I, Николай II,2
"От чего в 1890 году законодательно отказалась Юта, чтобы стать полноправным штатом США?",Употребление алкоголя, Суд Линча,Многожёнство, Рабовладение,3
В каком жанре Людвиг ван Бетховен написал «Творения Прометея»,симфония, опера, соната,балет,4
Чему равен корень четвёртой степени из 625?,15,5, 25, 35,2
Какое из этих больших озёр находится в Европе?,Балатон,Байкал, Гурон, Виктория,1
На какой реке стоит город Обнинск?,Нара, Угра, Ока,Протва,4
Назовите столицу Суринама.,Ханой, Мадрас,Парамарибо, Улан-Батор,3
"Какую меру жидкости на Руси называли ""кружка""?",Чарка, Бутылка,Штоф, Шкалик,3
"Спутником какой планеты является Титан, превосходящий по размерам планету Меркурий?",Сатурна,Юпитера, Марса, Нептуна,1
Какую спортивную игру начинают не с подачи?,Бадминтон, Волейбол, Теннис,Баскетбол,4
"""В состав какого сплава не входит медь?""",латунь, мельхиор, бронза,мегапир,4
"Какой из этих городов не является центром одного из федеральных округов, созданных указом В. В. Путина?",Нижний Новгород, Хабаровск,Красноярск, Ростов-на-Дону,3
Какое из этих животных накапливает к зиме жир в хвосте?,Сурок, Суслик,Бобер, Хомяк,3
"От кого Нильс спас гуся, завоевав доверие диких гусей в сказке С.Лагерлёф?",От куницы, От ястреба,От лисы, От змеи,3
Что из перечисленного Россия не экспортирует?,Электричество,Горячая вода, Газ, Нефть,2
Что означает футбольный термин ''аут''?,Штрафной удар,Мяч вне поля, Конец тайма, Замена игрока,2
"Какая птица, согласно поговорке, не позволяет учить себя яйцам?",Кукушка, Утка,Курица, Гусь,3
Где расположена штаб-квартира Совета Европы?,Страсбург,Гаага, Брюссель, Париж,1
Какой из этих подмосковных городов - самый крупный по населению?,Дмитров, Красногорск, Одинцово,Мытищи,4
В каком архитектурном стиле построено здание Большого театра в Москве?,Барокко, Модерн, Готика,Классицизм,4
Какая башня Московского Кремля располагается между Царской и Сенатской?,Оружейная,Спасская, Боровицкая, Троицкая,2
Какая из этих рек - самая короткая?,Дон,Днестр, Дунай, Днепр,2
"Что такое ""киноа""?",Зерновая культура,Животное, Поселение, Лодка,1
"Чем на Руси становились вершки, если их набиралось шестнадцать?",Пядь, Сажень, Пуд,Аршин,4
Назовите крупнейшее озеро Африки?,Ньяса,Виктория, Танганьика, Чад,2
Разновидностью какого прибора является анероид?,барометр,тахометр, термометр, спектрометр,1
Как написать правильно?,Потчевала явствами,Потчевала яствами, Подчивала явствами, Потчивала яствами,2
Какой из этих полнометражных американских мультфильмов создан не на студии Диснея?,"""Покахонтас"""," ""Король Лев"""," ""Пиноккио""","""Анастасия""",4
Собака какой породы участвует в торжественных церемониях перед Букингемским дворцом?,шотландская овчарка, английский бульдог,ирландский волкодав, немецкая овчарка,3
Какой город является столицей Северной Ирландии?,Эдинбург, Лондон, Дублин,Белфаст,4
"У лошадей какой масти из этих четырёх хвост и грива светлые, а не чёрные?",Игреневый,Саврасый, Гнедой, Буланый,1
"Соцветие какого растения ботаники не назовут ""кистью""?",Черёмуха, Вишни,Рябина, Смородины,3
Какая из этих кошек является длинношёрстной?,Сиамская, Британская, Ангорская,Персидская,4
"Какое из этих имён произошло от греческого слова ""девственный""?",Пётр,Парфён, Пантелеймон, Парамон,2
Какая вена входит в правое предсердие?,Средняя полая, Легочная,Верхняя полая, Яремная,3
Какая из этих марок пива - ирландская?,"""Туборг"""," ""Хольстен"""," ""Миллер""","""Гиннесс""",4
Название какого из этих видов сооружений произошло от одного из семи чудес света?,Виадук, Акведук, Обелиск,Мавзолей,4
"Как называется застежка-украшение на ожерелье, альбоме и др.?",Фермуар,Аграф, Агреман, Панагия,1
Какой из этих романов написал не Ги де Мопассан?,"""Дамское счастье""","""Милый друг"""," ""Жизнь"""," ""Пьер и Жан""",1
К какому фильму не писал музыку Эннио Морриконе?,«Бесславные ублюдки»,«Большой Лебовски», «Профессионал», «Красная палатка»,2
Какое из этих названий не является синонимом трех остальных?,Пантера, Леопард, Барс,Ягуар,4
Что не предназначено для нанесения линий?,рейсинг,рейсфедер, рейсшина, рейсмус,1
У какого дерева листья осенью зелёные?,Бук, Каштан,Ольха, Ива,3
Какой предмет мебели не упоминается в пароле для связи в фильме «Подвиг разведчика»?,тумбочка,табурет, шкаф, кровать,2
Какое прозвище в народе получила простейшая магнитола?,«арфа», «гитара»,«балалайка», «скрипка»,3
Что используют в работе воздушные гимнасты?,квадрат, овал,трапецию, треугольник,3
На марках какой страны название страны отсутствует?,Исландия, Швеция,Англия, Япония,3
На какой остров был построен мост из Владивостока в рамках программы подготовки города к проведению саммита АТЭС?,О. Рейнеке,О. Русский, О. Витязь, О. Попова,2
Какой из этих создающих изображение приборов не подразделяется на черно-белые и цветные?,Ксерокс, Телевизор,Фотоаппарат, Принтер,3
Столица какой африканской страны еще не так давно называлась Лагос?,Сенегал,Нигерия, Уганда, Кения,2
Кто упомянут в песне «Тачанка»?,кавалеристы,лётчики, моряки, артиллеристы,2
Какого персонажа нет в пьесе Метерлинка «Синяя птица»?,Хлеб, Молоко, Сахар,Масло,4
"Как называется повторяющаяся часть (мотив) рисунка (узора) на ткани, обоях и пр.?",Арабеска, Репетир, Жаккард,Раппорт,4
"Какой из этих российских орденов был ""младше"" остальных?","""Станислав 2-й степени""","""Анна 2-й степени"""," ""Владимир 4-й степени"""," ""Белый Орел""",1
Какой из этих спортивных снарядов самый лёгкий?,Молот, Ядро,Копьё, Диск,3
Какой элемент является наиболее химически активным?,натрий, фосфор, кислород,фтор,4
Какие ткани относятся к соединительным?,Мышечные, Нервные,Костные, Эпителиальные,3
Сколько человек в струнном квартете?,4,3, 5, 2,1
Где в теле человека расположена плюсна?,Стопа,Локоть, Запястье, Колено,1
В каком полушалочке стоит на полустаночке героиня популярной когда-то песни на стихи М. Анчарова?,В пушистом, В дешевом, В красивом,В цветастом,4
Последний танец какого из этих хореографов завершился в возрасте 96 лет?,Руф Денис, Джордж Баланчин,Марта Грэм, Агнес де Милль,3
Чьим слугой был Базен?,Арамиса,д’Артаньяна, Портоса, Атоса,1
"Как заканчивается расхожее выражение ""Враг моего врага...""?",Мой враг,Мой друг, Мой брат, Мой язык,2
Какое понятие никак не связано с числом 3?,триумвират, трирема, трельяж,триггер,4
Как говорят о пустячной задаче?,плёвое дело,клёвое дело, слёзное дело, кровавое дело,1
На каком национальном инструменте хорошо играл Джордж Харрисон?,ситар,кантеле, дутар, сямисэн,1
Как с греческого языка переводится слово «демагог»?,враг народа, друг народа,вождь народа, брат народа,3
"Что, согласно договору Эйфеля с парижскими властями, должно было произойти с башней его конструкции в 1909 году?",разбор на металлолом,перевоз в другое место, ремонт, покраска,1
Как по-другому называют глюкозу?,персиковый сахар, гранатовый сахар, вишнёвый сахар,виноградный сахар,4
Какая из карточных мастей считается самой старшей при игре в бридж?,червы, трефы, бубны,пики,4
В какой из этих стран нет шерифов?,Великобритания, Индия,Испания, Ирландия,3
"Кто написал ""Неаполитанскую песенку""?",Вивальди, Бетховен, Шопен,Чайковский,4
Какая планета была открыта в 1846 году благодаря постоянному отклонению Урана от рассчитанной учёными орбиты?,Меркурий, Плутон,Нептун, Юпитер,3
Какое название можно найти на карте Марса?,Санта-Барбара, Малибу,Твин Пикс, Изаура,3
Кому или чему Эдгар Аллан По посвятил сонет с названием «Моей матери»?,тёще,Америке, бабушке, мачехе,1
"Ветку какого дерева можно увидеть на 10-рублёвых монетах Банка России, посвященных городам?",дуб,клён, берёза, ольха,1
Как называется одна из разновидностей тыквы?,ушанка, ноздрянка,горлянка, губянка,3
Как называется разновидность преферанса с двумя игроками?,гусарик,кирасирчик, драгунчик, уланчик,1
Что начертал на поверхности Луны командир «Аполлона-17» Юджин Сернан?,формулу скорости света,инициалы дочери, слова гимна США, имя президента Никсона,2
Где хранится уникальный золотой самородок «Мефистофель»?,Эрмитаж,Алмазный фонд, Оружейная палата, Гохран,2
Кто из этих деятелей искусства стал директором первого профессионального публичного театра России,Василий Каральгин,Александр Сумароков, Павел Молчанов, Яков Княжнин,2
"Какое из этих названий относится к животному, не подвергнутому определенной хирургической операции?",Каплун,Хряк, Мерин, Валух,2
Как называется денежная единица Грузии?,Седи,Лари, Драм, Манат,2
Какое «звание» было у медведя Топтыгина в стихотворении Николая Алексеевича Некрасова?,маршал, полковник, майор,генерал,4
В какую страну конструктор Игорь Сикорский эмигрировал в 1919 году?,В Японию, Во Францию, В Финляндию,В США,4
"Какая книга У. Теккерея в первом русском издании называлась ""Базар житейской суеты""?","""Книга снобов"""," ""Роковые сапоги"""," ""Роковые сапоги""","""Ярмарка тщеславия""",4
Какая столица расположена ближе к экватору?,Вашингтон,Ташкент, Варшава, Киев,1
Какое слово произошло от греческого «подражательный»?,Пародия,Мимика, Стилизация, Копия,2
Что выросло у всех российских студентов 1 апреля 2005 года?,IQ, Количество предметов, Срок обучения,Стипендия,4
"В 1700 г. во Франции правил Людовик XIV, в России - Петр I, в Швеции - Карл XII. А кто в это время был английским королем?",Карл II,Вильгельм III Оранский, Яков II, Мария II Стюарт,2
Сколько детей было у Анны Карениной?,3, 4,2, 1,3
Самая яркая звезда какого созвездия называется Альтаир?,Лира,Орёл, Дева, Лебедь,2
В честь павших воинов какой войны был возведен Храм Христа Спасителя?,Русско-Японской, Русско-Турецкой,Война с Наполеоном, Русско-Шведской,3
Какое из этих начинаний в области отечественной продовольственной политики было первым?,Продналог, Продпрограмма, Продкорзина,Продразвёрстка,4
Как называется узкая нераспаханная полоса между полями?,Межа,Междурядье, Целина, Борозда,1
Какая кремлёвская башня появляется на экранах телевизоров в новогоднюю ночь?,Кутафья, Никольская,Спасская, Никольская,3
Какая наука изучает ископаемых животных?,Палеоэнтомология, Арахнология, Археология,Палеонтология,4
На каком острове Поль Гоген провёл не один год своей жизни?,Гавайи,Таити, Фиджи, Крит,2
Какое из этих африканских государств раньше называлось Верхняя Вольта?,Бенин, Кот-д'Ивуар, Кабо Верде,Буркина Фасо,4
"Как назывался первый в социалистической Польше независимый профсоюз, во главе которого стоял будущий президент Лех Валенса?",''Сопротивление''," ""Единение''", ''Свободная Польша'',"""Солидарность''",4
"В каком штате США находится Солнечная долина, прославленная оркестром Гленна Миллера?",Айдахо,Индиана, Айова, Мичиган,1
Какая рок-группа названа в честь дихлордифенилтрихлорметилметана?,Коррозия металла, AC/DC, Металлика,ДДТ,4
"Как назывался каменный монолит, на котором установлен памятник Петру I в Санкт-Петербурге?",Дом-камень, Гора-камень,Гром-камень, Разрыв-камень,3
Какая звезда в Большой Медведице составляет с Мицаром двойную звезду?,Адара,Алькор, Ригель, Акрукс,2
"Как в международном праве называются лица, входящие в состав вооруженных сил и непосредственно участвующие в военных действиях?",Коллаборационисты, Коммандисты,Комбатанты, Герусии,3
Кого из этих писателей звали Владимир Владимирович?,Даль, Тургенев,Набоков, Гончаров,3
В каком из этих городов вода закипает при самой низкой температуре?,Катманду,Аддис-Абеба, Алма-Ата, Москва,2
В какой стране река Рейн впадает в Северное море?,во Франции,в Нидерландах, в Германии, в Швейцарии,2
Из какого мяса испанцы делают знаменитый на весь мир деликатес хамон?,из говядины,из свинины, из баранины, из оленины,2
Кого или что можно было обнаружить в деннике каждого гусара?,саблю,коня, шампанское, табак,2
Какой металл является основой любой амальгамы?,Золото, Сурьма, Алюминий,Ртуть,4
Кто из этих президентов США не был лауреатом Нобелевской премии мира?,Джеймс Картер, Теодор Рузвельт, Вудро Вильсон,Джеральд Форд,4
Какая из этих российских антарктических станций находится ближе всего к Южному полюсу?,"""Молодежная""","""Восток"""," ""Мирный"""," ""Прогресс""",2
Как называется приспособление для чистки пушек?,банщик,банник, бантик, битник,2
Согласно какой шкале температур вода закипает про 80 градусах?,Фаренгейта, Кельвина, Цельсия,Реомюра,4
Что случилось с кабинетным роялем Дмитрия Шостаковича?,был съеден крысами,был проигран в карты, упал с грузовика, сгорел при пожаре,2
Кто по мнению И.Бродского создал пенальти и угловой?,Исполком ФИФА, Бог, Арбитр,Хаммурапи,4
"Сколько раз надо сложить лист бумаги пополам, чтобы получить 1/8 его часть?",4,3, 6, 8,2
"Какой бытовой прибор используют хозяйки в Гонолулу, для того чтобы сделать мясо осьминога более нежным?",Пылесос, Фен,Стиральная машина, Утюг,3
"По какому признаку, согласно латинской пословице, узнают льва?",по голосу, по зубам,по когтям, по гриве,3
"Что, согласно правилам правописания, делают со словом, если оно не умещается в одной строке?",ужимают, разгружают,переносят, обрезают,3
"Что однажды во время прогулки сделал император Франц-Иосиф, положив начало нововведению в моде?",снял шляпу,закатал брюки, оторвал рукава куртки, сломал каблук,2
Какой масти конь Алёши Поповича на картине Васнецова,вороной, белой,рыжей, саврасой,3
В какой стране в 1947 году режиссёр Григорий Александров снимал фильм «Весна»?,в ГДР, в Болгарии,в Чехословакии, в Польше,3
Какое дерево существует?,Зефирное, Карамельное,Конфетное, Медовое,3
Сочетание каких двух карт называется марьяжем?,туз и король, валет и дама,король и дама, король и валет,3
Что такое или кто такой автожир?,разновидность паука, смазка для двигателя,винтовой летательный аппарат, курдючный баран,3
Какой из этих вулканов считается потухшим?,Этна, Везувий,Карадаг, Ключевская сопка,3
"В какой части света появилось самое молодое на сегодняшний день государство, признанное ООН?",Европа, Азия, Австралия и Океания,Африка,4
Какое уменьшительно-ласкательное женское имя не упомянуто в песенке из фильма «Соломенная шляпка»?,Бабетта,Колетта, Лоретта, Мариетта,1
Какая пряная трава входит в основу традиционного итальянского соуса песто?,базилик,руккола, укроп, орегано,1
Кого или что писатель Кассиодор назвал другим народом Древнего Рима?,фонтаны,статуи, варваров, рабов,2
Какое слово отсутствовало в обращении царицы из сказки Пушкина к зеркальцу: «Я ль на свете всех ...»?,Милее, Белее, Румяней,Стройнее,4
Для какого государственного деятеля не был построен мавзолей?,Ким Ир Сен,Раджив Ганди, Хо Ши Мин, Мао Цзэдун,2
Какое из этих имён - мужское?,Русс, Фаина, Ракиль,Иона,4
Какую из этих стран не омывает Атлантический океан?,Парагвай,Уругвай, Аргентина, Гайана,1
Что такое Зелёная Эвглена?,древняя богиня, цветковое растение,простейшее одноклеточное, прозвище тёщи,3
Гребенщикова зовут...,Борис Николаевич, Борис Иванович, Борис Александрович,Борис Борисович,4
Какая из этих симфоний принадлежит П.И.Чайковскому?,"""Неоконченная"""," ""Героическая""","""Патетическая""."," ""Симфоническая""",3
"Сколько шаров надо ""положить"", чтобы выиграть на бильярде партию в ""американку""?",7, 9, 10,8,4
Какое из этих грузинских вин - белое?,Киндзмараули,Цинандали, Оджалеши, Хванчкара,2
Какая часть русского языка не относится к грамматике?,Пунктуация,Морфология, Синтаксис, Словообразование,1
"Какой суп, приготовленный мамой, ел Юрий Деточкин, герой фильма «Берегись автомобиля!»?",луковый,грибной, борщ, харчо,1
Кто из физиков создал свою температурную шкалу позже остальных?,Кельвин,Реомюр, Цельсий, Фаренгейт,1
Какая страна не предъявляла территориальных претензий в Антарктике?,США,Франция, Аргентина, Норвегия,1
"Как называется пьеса Шварца, по которой Марк Захаров снял кинофильм «Обыкновенное чудо»?",«Рождественская сказка»,«Обыкновенное чудо», «Волшебник забавляется», «Медведь»,2
Что же это такое - ИССОП?,Растение,Молитва, Напиток, Животное,1
Какое из современных государств Европы - древнейшее?,Лихтенштейн, Андорра,Сан-Марино, Швейцария,3
Какой из городов не является административным центром какого-нибудь американского штата?,Олбани, Бостон, Солт-Лейк-Сити,Вашингтон,4
Кто зажигает рождественскую ель на лужайке Белого дома в Вашингтоне?,Белоснежка, Дед Мороз, Микки-Маус,Президент,4
Какую пьесу написал Уильям Шекспир?,«Ураган»,«Буря», «Гроза», «Метель»,2
На почтовых марках какой страны написано её латинское название Гельвеция?,Сан-Марино, Люксембург,Швейцария, Лихтенштейн,3
Как в греческой мифологии звали музу трагедии?,Полигимния,Мельпомена, Талия, Эвтерпа,2
Уксусная кислота по международной номенклатуре?,Этановая кислота,Бутаноновая кислота, Пропионовая кислота, Метановая кислота,1
В каких спортивных состязаниях не используется сетка?,баскетбол, бадминтон, метание молота,регби,4
Чем на Руси занимался золотарь?,заведовал казной, ковал оружие,чистил отхожие места, добывал золото,3
"Как называется метеорный поток, наблюдаемый ежегодно в ноябре?",Максимы,Леониды, Иваны, Гавриилы,2
Какого числа была образована корпорация Apple Computer?,1 апреля,9 мая, 1 января, 8 марта,1
Какой латинской буквой древние римляне обозначали число 100?,L, D, M,C,4
Кто написал картину «Шесть видений Ленина на рояле»?,Илья Глазунов, Илья Кабаков,Сальвадор Дали, Пабло Пикассо,3
Какая из этих оперетт написана Г. С. Милютиным?,"""Поцелуй Чаниты""","""Вольный ветер"""," ""Свадьба в Малиновке"""," ""Белая акация""",1
Какая из этих столиц стоит на реке Тибр?,Вадуц, Багдад, Тегеран,Рим,4
Кто из этих полководцев не был одноглазым?,Михаил Кутузов,Бернард Монтгомери, Горацио Нельсон, Даян Моше,2
Существование какого физического явления демонстрировал опыт Отто фон Герике с магдебургскими полушариями?,атмосферного давления,магнетизма, конвекции, резонанса,1
Что есть у автомобиля?,шерсть,крылья, лапы, хвост,2
Какую сумочку французы считали «смехотворной»?,ридикюль,несессер, барсетку, клатч,1
Повесть под каким из этих названий есть у Аркадия Гайдара?,''Судьба барабанщика'',''Разные судьбы'', ''Судьба человека'', ''Судьба играет человеком'',1
Какой из этих городов никогда не был столицей Японии?,Киото, Нара,Саппоро, Эдо,3
Какой из советских самолётов не был бипланом?,Ан-2, Р-5,Ла-7, У-2,3
Как игроки в дартс называют сектор в 50 очков,волчье ухо, лисий нос, щучий хвост,бычий глаз,4
Какой зловещий персонаж упомянут в названии одного из фильмов о Джеймсе Бонде?,человек с золотым пистолетом,человек с платиновым кинжалом, человек с алмазным перстнем, человек с хрустальным глазом,1
Какие птицы существуют?,Таратайки,Фаэтоны, Пошевни, Пролетки,2
Какая из этих столиц расположена у фьорда?,Осло,Лондон, Амстердам, Мадрид,1
За что в армейской роте отвечал хорунжий?,знамя,провиант, лошади, пленные,1
Как в Древней Руси называлось согласие родителей невесты на брак с молодым человеком?,Упои, Припой, Удой,Запой,4
Какая колёсная формула характеризует автомобиль-внедорожник?,4*4,2*2, 5*5, 8*8,1
